Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
4.0,62.0,No,7.2,8,41.62
8.6,59.6,Yes,6.3,5,51.57
6.9,50.4,Yes,8.8,1,36.96
5.8,75.8,No,5.1,4,46.78
2.2,68.1,No,6.9,3,36.87
2.2,91.1,No,7.5,7,52.8
1.5,41.9,No,8.1,6,23.24
7.9,78.0,Yes,6.0,6,53.8
5.8,85.0,No,7.4,2,55.85
6.7,84.8,Yes,5.5,6,58.3
1.2,92.3,No,6.2,8,52.75
8.8,83.0,Yes,8.5,5,69.22
7.7,94.7,Yes,8.7,9,70.97
2.7,59.6,Yes,7.6,2,38.45
2.5,69.7,Yes,5.9,7,35.44
2.5,40.8,No,8.1,6,29.88
3.4,40.4,No,4.1,6,29.24
5.2,54.2,No,4.5,4,31.95
4.5,45.9,No,7.3,9,30.32
3.3,55.4,Yes,5.5,6,29.04
5.9,50.4,Yes,8.8,8,45.09
2.1,41.7,Yes,6.2,8,24.35
3.3,93.6,Yes,6.1,4,55.08
3.9,40.5,No,7.4,5,21.58
4.6,83.4,No,7.8,2,58.66
7.3,49.0,Yes,6.4,4,35.95
2.6,93.8,Yes,5.1,6,56.21
5.1,92.7,Yes,7.9,2,60.5
5.7,78.6,Yes,5.6,2,50.24
1.4,79.7,Yes,4.9,7,42.87
5.9,40.3,No,7.2,5,29.23
2.4,98.1,Yes,4.5,3,57.72
1.5,91.8,No,8.9,3,48.43
8.6,92.8,Yes,7.2,7,78.63
8.7,78.9,Yes,8.9,3,58.51
7.5,60.3,No,5.7,5,49.17
3.4,92.7,No,8.9,2,47.34
1.8,57.2,Yes,4.7,3,26.46
6.5,73.2,No,4.2,4,46.72
4.5,45.9,Yes,4.2,1,23.38
2.0,94.4,Yes,6.3,4,54.94
5.0,48.3,No,4.4,4,30.91
1.3,53.3,No,6.6,3,16.06
8.3,72.9,Yes,5.6,9,68.38
3.1,85.1,Yes,5.7,3,50.6
6.3,76.5,No,7.2,2,51.15
3.5,53.7,Yes,4.8,7,40.22
5.2,40.1,Yes,7.8,9,37.72
5.4,84.7,No,6.9,6,55.61
2.5,98.1,No,8.6,5,49.69
8.8,87.8,Yes,5.8,1,66.45
7.2,67.2,No,8.9,3,45.41
8.5,93.3,No,6.9,9,77.19
8.2,64.2,No,8.9,8,50.75
5.8,71.0,No,4.1,9,49.09
8.4,68.2,No,7.6,8,50.91
1.7,66.4,Yes,8.1,1,29.6
2.6,85.7,Yes,4.3,8,52.03
1.4,71.1,No,6.9,8,39.4
3.6,58.7,No,8.0,5,34.52
4.1,55.2,No,6.8,6,44.15
3.2,42.2,No,4.3,2,24.01
7.6,74.4,No,7.5,1,52.55
3.9,53.6,No,4.3,8,23.87
3.2,48.7,No,8.1,7,34.5
5.3,78.6,No,4.2,4,62.36
2.1,80.2,Yes,4.7,7,46.66
7.4,84.4,No,5.4,2,54.68
1.6,69.7,No,7.2,2,35.94
8.9,92.7,No,8.9,7,66.31
7.2,95.2,No,4.6,3,66.18
2.6,87.6,Yes,4.7,6,58.24
1.0,77.5,No,5.8,7,39.36
7.5,57.9,No,8.2,7,44.88
6.7,98.0,No,6.3,4,65.85
6.8,56.2,No,5.6,3,38.42
7.2,52.0,Yes,6.8,1,33.07
1.6,66.1,No,5.3,7,34.81
3.9,43.4,No,6.0,9,27.94
1.9,97.7,No,5.7,1,56.99
7.9,74.7,No,8.0,5,61.42
6.0,72.9,No,8.6,4,55.92
3.6,78.7,Yes,7.8,2,50.76
1.5,69.3,No,6.2,7,39.27
3.5,41.9,Yes,6.5,7,25.07
3.6,76.1,No,4.6,8,53.23
6.8,82.3,Yes,7.7,3,59.83
6.1,64.6,Yes,7.0,6,43.1
8.1,84.7,No,8.5,4,59.0
4.8,53.4,No,5.0,3,28.33
2.0,53.1,No,7.8,4,19.84
6.7,49.5,No,7.4,1,36.8
7.1,61.9,No,5.3,7,42.66
5.5,90.0,No,7.3,7,58.22
7.2,88.8,No,8.6,7,65.43
5.0,62.6,No,8.6,2,39.21
5.2,74.8,No,7.6,1,43.79
4.4,82.5,No,4.2,9,60.54
1.2,54.2,No,8.4,2,19.39
1.9,49.9,Yes,7.3,5,22.09
1.3,97.4,No,5.6,5,54.59
6.1,76.4,Yes,4.9,8,53.46
3.5,97.9,Yes,4.6,1,54.0
5.1,59.9,Yes,4.3,7,38.11
8.3,81.5,No,7.8,3,61.4
3.0,53.1,Yes,5.2,2,30.44
4.3,55.4,No,4.1,5,35.08
7.0,70.2,No,6.0,4,48.0
2.8,58.9,No,6.4,9,34.15
1.6,49.9,No,4.8,1,21.06
