epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6015,1.97276,3.31627,0.00209,0,0,0,0,1.57437,3.54835,0.00228,0.000405983,0.000405983,0.000405983
2,20.3355,1.82212,1.77242,0.00172,0.8521,0.23077,0.18878,0.09052,1.72863,2.20566,0.00246,0.000781928,0.000781928,0.000781928
3,29.9707,1.75537,1.5385,0.00158,0.93582,0.18899,0.21063,0.08826,2.00358,1.39296,0.00278,0.00111662,0.00111662,0.00111662
4,39.5569,1.78341,1.45458,0.00159,0.93723,0.20075,0.24516,0.13997,1.46774,1.11433,0.00194,0.00106437,0.00106437,0.00106437
5,48.7689,1.72027,1.34953,0.00151,0.90988,0.23038,0.28288,0.16577,1.40319,1.04762,0.00184,0.0010025,0.0010025,0.0010025
6,58.0182,1.63763,1.256,0.00145,0.85772,0.24164,0.3072,0.18824,1.34499,0.9752,0.0018,0.000940625,0.000940625,0.000940625
7,67.8665,1.60155,1.18039,0.00142,0.60348,0.35765,0.39247,0.25005,1.28324,0.90213,0.00168,0.00087875,0.00087875,0.00087875
8,77.2654,1.64133,1.13282,0.00143,0.66223,0.39023,0.42063,0.26106,1.3487,0.88234,0.00181,0.000816875,0.000816875,0.000816875
9,86.3511,1.57483,1.08989,0.0014,0.7295,0.37386,0.44029,0.28166,1.32592,0.83149,0.00171,0.000755,0.000755,0.000755
10,95.2603,1.57135,1.03439,0.00138,0.70758,0.44909,0.48314,0.31183,1.24853,0.79166,0.00163,0.000693125,0.000693125,0.000693125
11,106.673,1.48124,1.12102,0.00142,0.66697,0.38373,0.4319,0.27624,1.26882,0.85378,0.00167,0.00063125,0.00063125,0.00063125
12,114.659,1.41725,0.98731,0.00138,0.74894,0.4501,0.50117,0.31252,1.32499,0.7843,0.00175,0.000569375,0.000569375,0.000569375
13,122.629,1.39069,0.92644,0.00139,0.63909,0.4438,0.50082,0.32707,1.25559,0.73237,0.00164,0.0005075,0.0005075,0.0005075
14,131.212,1.36759,0.8872,0.00134,0.70974,0.46723,0.53824,0.34584,1.26425,0.72616,0.00165,0.000445625,0.000445625,0.000445625
15,139.288,1.36564,0.84921,0.0013,0.79744,0.43678,0.54134,0.35277,1.24715,0.70446,0.00161,0.00038375,0.00038375,0.00038375
16,147.432,1.40704,0.84143,0.00132,0.69802,0.49311,0.56671,0.36312,1.27248,0.69655,0.00167,0.000321875,0.000321875,0.000321875
17,155.618,1.3697,0.81641,0.00132,0.69245,0.52631,0.58105,0.37484,1.24227,0.68644,0.00162,0.00026,0.00026,0.00026
18,163.792,1.37734,0.81497,0.0013,0.70577,0.51218,0.57375,0.37873,1.21439,0.67902,0.00156,0.000198125,0.000198125,0.000198125
19,171.888,1.35693,0.79887,0.00128,0.7057,0.50662,0.58112,0.38168,1.21611,0.6719,0.00156,0.00013625,0.00013625,0.00013625
20,180.021,1.3365,0.79004,0.00126,0.67169,0.52916,0.58306,0.38136,1.20918,0.67756,0.00155,7.4375e-05,7.4375e-05,7.4375e-05
